AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,Count,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAINES, CHARLES LATHAM, JR.",https://auburn.app.box.com/file/905741737436,"CHARLES LATHAM GAINES, JR.",,1943-present,,,,,,,";</strong></p>
<p>Writer; author of film and television scripts and books.  Born: January 6, 1942, Jacksonville, Florida.  Parents: Charles Sr. and Margaret Shook Gaines.  Married-Patricia Ellisor, June 20, 1963.  Children:three.  Education:  Attended Washington and Lee University, 1960; B. A. Birmingham-Southern College, 1963; M. F. A., University of Iowa, 1967.  Director of federal Title III Operation Arts program in Green Bay, Wisconsin, 1967-69; Associate Professor of Creative Writing, New England College, Henniker, NH, 1970-76.  Published novels, nonfiction books, filmscripts, scripts for television series, and articles and short stories for periodicals.  Finalist for National Book Award, 1970; Emmy Award, 1976; nominated for annual screen award from the Writers Guild of America, 1976. Alabama Writers Hall of Fame, 2018.</p>
<p>",";</strong></p>
<p>Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>Stay Hungry.  Doubleday, 1972.</p><p>Pumping Iron.  Simon and Schuster, 1974.</p><p>Dangler.  Simon and Schuster, 1976.</p><p>Staying Hard:  The Only Exercise Book You Will Ever Need.  New York:  Kenan Press, 1980.</p>
<p>Yours in Perfect Manhood, Charles Atlas; The Most Effective Fitness Program Ever Devised.  Simon & Schuster, 1982.</p><p>A Family Place; A Man Returns to the Center of his Life.  Atlantic Monthly Press, 1994.</p>
<p>Survival Games.  Atlantic Monthly Press, 1997.</p>

				</div>","<p>The Next Valley Over;  An Angler's Progress.  Crown Publishers, 2000.</p><p>Leaper:  The Wonderful World of Atlantic Salmon Fishing.  Guilford, 2001.</p>","<p><strong>Film Scripts;</strong></p>
<p>""Pumping Iron,"" adapted from his novel of the same title.  Cinema Five, 1977.</p>
<p>(With Bob Rafelson). ""Stay Hungry,"" adapted from his novel of the same title.  United Artists, 1976.</p>
<p>""Summer"" PBS Television, 1980.</p>
<p><strong>Joint Publications;</strong></p>
<p>(With Arnold Schwarzenegger).  Arnold's Fitness for Kids (three volumes: Ages Birth-5; Ages 6-10; Ages 11-14). Doubleday, 1993.</p>
<p>(With George Butler). Pumping Iron II; The Unprecedented Woman.  Simon & Schuster, 1984.</p>
<p>(With Robert Arnot). Sportselection.  Viking, 1984.</p>
<p>(With Jean-Michel Basquiat and Catherine Lord).  The Theatre of Refusal; Black Art and Mainstream Criticism.  University of California, 1993.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAINES, MARION TOULMIN",,MARION TOULMIN GAINES,,1869-1955,,,,,,,":</strong></p>
<p>Physician, professor of medicine. Born:July 12, 1869, Mobile. Parents:Aristide and Amante (Gaines) Hamelin. Adopted by grandparents, Edmund Pendleton and Mary Jane (Toulmin) Gaines. Married:Augusta Brooks Henry, April 25, 1896. Children:Two. Education:University of Alabama, degrees in pharmacy and medicine, 1890. Intern, City Hospital of Mobile; assistant surgeon at New Orleans U.S. Marine Hospital during yellow fever epidemic of 1897; practiced medicine, 1904-; during World War I, served as Captain, Medical Corps, Camp Sevier, S.C.; after war, practiced medicine in Mobile; served fifteen years as member of Mobile County Board of Health; professor of pathology and dermatology, Mobile Medical Department of the University of Alabama. Member, American, Southern, and Alabama Medical Associations; Mobile County Medical Society. Died January 25, 1955.</p>
<p>",":</strong></p>
<p>Owen's The Story of Alabama.</p>
<p>","(s):</strong></p>
<p>Mobile; West Florida to Alabama. Mobile, Ala.; Rapier House, 1952.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAINES, PATRICIA ELLISOR",,PATRICIA ELLISOR GAINES,,Unknown,,,,,,,":</strong></p>
<p>Painter, craftsperson. Born: Selma.  Parents; Rev. Thaddeus and Vassie Spencer Ellisor. Married:Charles Gaines, III, June 20, 1963.  Children:Three. Education:B.A., Birmingham Southern College; M.F.A., University of Georgia. Chair, Art Department, Proctor Academy, Andover, Mass., 1971-73; Artist in Residence, Belknap College, NH, 1973-4; Associate Professor of Painting and Design, New England College, NH, 1975-76.  Has installations and exhibits of paintings in many cities including Birmingham, New York, and Boston, and in many distinguished private collections.</p>
<p>",":</strong></p>
<p>Artnet.</p>
<p>Files at Alabama Department of Archives and History and jacket of Soft.</p>
<p>","(s):</strong></p>
<p>The Fabric Decoration Book. New York; Morrow, 1975.</p>
<p>Soft; an Irresistible Collection of Pillows, Toys, Bags, Objects to Sit on, Ornaments for the Body, and Various Malleable Oddities and How to Make Them. New York; Morrow, 1977.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAITHER, FRANCES ORMOND JONES",,FRANCES ORMOND JONES GAITHER,,1889-1955,,,,,,,":</strong></p>
<p>Writer. Born:May 21, 1889, in Somerville, Tenn.; grew up in Corinth, MS  Parents:Paul Tudor and Annie (Smith) Jones. Married:Rice Gaither, April 25, 1912.   Education:    Mississippi State College for Women, B.A., 1909. Taught briefly in Corinth and lived in Mobile and Fairhope after her marriage; moved to New York City in 1929 and worked as a free lance writer. Published many short stories and reviews in various periodicals;  wrote children's books during the 1930s; adult fiction in the 1940s. <em>Double Muscadine</em> was a Book-of-the-Month Club selection, 1949.  Died October 28, 1955.</p>
<p>",":</strong></p>
<p>Bain's Southern Writers; a Biographical Dictionary, 1979.</p>
<p>","(s):</strong></p>
<p>The Pageant of Columbus with a Masques of I.I.&C. Columbus, Miss.; Mississippi Industrial Institute and College, 1915.</p><p>Shores of Happiness; a Pageant . Charlottesville, Va.; F.J.O. Gaither, 1919.</p><p>The Shadow of the Builder. Charlottesville, Va.; Arundel Co. Inc., 1921.</p><p>The Fatal River, the Life and Death of LaSalle. New York; H. Holt Co., 1931.</p><p>The Scarlet Coat. New York; Macmillan, 1934.</p><p>Little Miss Cappo. New York; Macmillan, 1937.</p><p>The Painted Arrow. New York; Macmillan, 1937.</p>
<p>Follow the Drinking Gourd. New York; Macmillan, 1940.</p><p>The Red Cock Crows. New York; Macmillan, 1944.</p><p>Double Muscadine. New York; Macmillan, 1949.</p>

				</div>",,"<p><strong>Papers;</strong></p>
<p>A collection of papers of Frances Ormond Gaither and Rice Gaither is held by the Manuscripts and Archives Department of the New York Public Library.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GALLAGHER, BUELL GORDON",,BUELL GORDON GALLAGHER,,1904-1978,,,,,,,":</strong></p>
<p>Educator, clergyman, social activist. Born:February 4, 1904, Rankin, Ill. Parents:Elmer and Elma Maryel (Poole) Gallagher. Married : June Lucille Sampson, September 1, 1927.  Children:two. Education:Carleton College, B.A., 1925; Union Theological Seminary, B.D., 1929; Columbia University, Ph.D., 1939; further study at the London School of Economics, 1929-30. Instructor in economics, Doane College, Nebraska, 1925-26; ordained minister in the Congregational Church, 1929; National secretary of YMCA, 1930-31; pastor of Congregational Church in Passaic, NJ, 1931-33; president of Talladega College, 1933-43; professor of Christian Ethics, Pacific School Of Religion, 1944-49; consultant, U.S. Office of Education, 1950-51; president of the College of the City of New York, 1952-61 and 1962-69; chancellor of California State College system, 1961-62. Candidate for U. S. House of Representatives, California 7th district, 1948. A member and officer in many national service organizations and commissions, including the World University Service, the Commission on Religion and Race of the National Council of Churches, and the NAACP (which he served as vice-chair of the board of directors). Named president emeritus of the College of the City of New York on his retirement in 1970. Received  honorary degrees from many colleges and universities, including  Columbia University,Brandeis University (1954); Tuskegee Institute (1963); L.H.D. degrees from Wagner College (1954); Moravian College (1958); Adelphi College (1966); City College of City University of New York (1972); Talladega College (1973); honorary Litt. D., University of Cincinnati (1957).  Named a chevalier of the Legion of Honor by the French Government. Awarded the Outstanding Civilian Service Medal by the U.S. Army; the Amistad Medal (1968) and the Martin Luther King Jr. Medal by the City University of New York, 1969.  Died August  30, 1978.</p>
<p>",":</strong></p>
<p>Contemporary Authors Online; Marquis Who's Who online.</p>
<p>","(s):</strong></p>
<p>American Caste and the Negro College. New York; Columbia University Press, 1938.</p>
<p>Color and Conscience; the Irrepressible Conflict. New York; Harper & Row, 1946.</p><p>Portrait of a Pilgrim; a Search for the Christian Way in Race Relations. New York; Friendship Press, 1946.</p>
<p>The Federal Government and the Higher Education of the Deaf. Washington, D.C.; s.n., 1949.</p>
<p>A Preface to the Study of Utopias. Yellow Springs, Ohio; Antioch Press, 1960.</p>


				</div>",,"<p><strong>Editor and Contributor:</strong></p>
<p>Campus in Crisis. New York; Harper & Row, 1974.</p>
<p>College and the Black Student:  NAACP Tracts for the Times.  NAACP, 1971.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GALLALEE, JOHN CAULKINS (JACK)",,JOHN CAULKINS (JACK) GALLALEE,,1918-1974,,,,,,,#Null,#Null,#Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GALLANT, THOMAS GRADY",,THOMAS GRADY GALLANT,,1920-2009,,,,,,,":</strong></p>
<p>Journalist; newspaper editor. Born:June 14, 1920, Gadsden. Parents:Thomas Grady and Louise (Ralls) Gallant. Married:Micheal Ann Snider, March 18, 1946. Children:Three. Education:Studied at Emory University, 1939-1941, 1946-1947. Served in U.S. Marine Corps, 1941-1945. Editor, Cleveland, Tenn. Daily Banner, 1947-1948; reporter, Chattanooga News/Free Press, 1948-1963; columnist, Chattanooga Post, 1966-1970; Nashville Banner, 1971-74; information officer, Tennessee Office of the Comptroller and Treasury, Nashville, 1974. Reported on many important events of the middle and later 20th century; published articles and photographs. Publicity director, Cherokee, N.C., Historical Association, 1959-1961. Member, Museum Advisory Panel for Tennessee Arts Commission, 1974.  Died November 10, 2009.</p>
<p>",":</strong></p>
<p>Obituary","(s):</strong></p>
<p>Valor's Side. Garden City, N.Y.; Doubleday, 1963.</p><p>The Friendly Dead. Garden City, N.Y.; Doubleday, 1964.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GALLAWAY, MARIAN",,MARIAN GALLAWAY,,1903-1980,,,,,,,":</strong></p>
<p>University Professor, theatre director. Born:March 1, 1903, in Savannah, Ga. Parents:Herman W. and Mattie (Wilfert) Hesse. Education:Goucher College, 1921-1924; University of Michigan, A.B., 1925; M.A., 1924; State University of Iowa, Ph.D., 1941. Director of Cedar Rapids, Ia., Community Plays, 1935; taught at Arizona State College, 1942-1944; Eastern Illinois State College, 1944-1946; State University of Iowa, 1946-1948; University of Alabama, 1948-1973 as professor of speech and director of the University Theatre.  The Alabama Conference on Theatre and Speech established the annual Marian Gallaway Award for Contributions to Theatre in Alabama, and Marian Gallaway Theater on the University of Alabama campus is named in her honor.  Died November 1980.</p>
<p>",":</strong></p>
<p>Biographical Encyclopedia and Who's Who of American Theatre; Directory of American Scholars, 1974; Notables in the American Theatre.</p>
<p>","(s):</strong></p>
<p>Constructing a Play. Englewood Cliffs, N.J.; Prentice-Hall, 1950.</p>
<p>The Director in the Theatre. New York; Macmillan, 1963.</p>

				</div>",,"<p><strong>Papers;</strong></p>
<p>A collection of the papers of Marian Gallaway is held by the Hoole Special Collections Library at the University of Alabama.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAMBEL, JOHNNIE GENEVA RODEN DOLE",,JOHNNIE GENEVA RODEN DOLE GAMBEL,,1925-2017,,,,,,,";</strong></p>
<p>Genealogist; university staff.  Born January 1, 1925,  Florence, Lauderdale County; Parents:John Henry and Eunice Clayton Terrell Roden.  Married:Francis Henry Dole, Sr.  Children: four.  Married:E. Anthony Gambel.  Education:Coffee High School, graduated 1942; Larrimore Business College; additional study at the University of Arkansas at Little Rock, Shelton State College and the University of Alabama.  Worked for TVA in Sheffield before her marriage; worked for the University of Alabama as a staff member in the Financial Aid Office, and then in the UA College of Engineering, 1964-88.  Died July 2, 2017.</p>
<p>",";</strong></p>
<p>Obituary.</p>
<p>","(s):</strong></p>
<p>Rivers through Time:  The History and Genealogy of the Roden and Milwee Families. Tuscaloosa, 1995.</p> <p>Considering the Terrell Family.</p>
<p><strong>Joint Publications;</strong></p>
<p>The Gambrell Story.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAMBLE, ROBERT S.",,ROBERT S. GAMBLE,,1943-unknown,,,,,,,":</strong></p>
<p>Architectural historian; preservationist. Born August 24, 1943. Education:Birmingham Southern College, B.S., University of Georgia, M.A., 1967. Worked in National Preservation Office of Dominican Republic for two and one-half years while serving in Peace Corps. Joined the staff of the National Park Service in 1969; worked with U.S. National Register of Historic Places and the National Landmarks program.  Senior architectural historian for the Alabama Historical Commission, 1982-.  Has also worked with preservation projects in the Caribbean and Central America, under the auspices of the United Nations. Received the Antoinette Forrester Downing Award from the Society of Architectural Historians, 1989.</p>
<p>",":</strong></p>
<p>SCRIPSIT, University of Alabama Libraries files; dust jacket notes, Historic Architecture in Alabama.</p>
<p>","(s):</strong></p>
 <p>Sully; the Biography of a House. Chantilly, Va.; Sully Foundation, 1974.</p><p>Puerto Plata, la Conservacion de una Ciudad; Inventario. Santo Domingo; Editora Alfa y Omega, 1978.</p><p>Where to Look:  A Guide to Preservation Information.  Washington, DC: 1982.</p><p>The Alabama Catalog; Historic American Buildings Survey; a Guide to the Early Architecture of the State. Tuscaloosa, Ala.; University of Alabama Press, 1987.</p>
<p>Historic Architecture In Alabama; a Primer of Styles and Types, 1810-1930. Tuscaloosa, Ala.; University of Alabama Press, 1990.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Restoration of the Alabama State Capitol; an Historical Perspective for Renovation and Restoration of the Interior. Montgomery, Ala.; Alabama Historical Commission, 1983.</p><p>The Alabama State Capitol; Architectural History of the Capitol Interiors. Montgomery, Ala.; Alabama Historical Commission, 1984.</p>
<p>The Lure and Lore of Limestone County.  Tuscaloosa:  Portals Press, 1990.</p>

				</div>",,"<p><strong>Contributor;</strong></p>
<p>Silent in the Land. Tuscaloosa:  CKM Press, 1993.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GANEY, JOSEPH SAMUEL",,JOSEPH SAMUEL GANEY,,1880-1965,,,,,,,":</strong></p>
<p>Educator. Born:December 5, 1880, Rosehill vicinity, Covington County. Parents:Daniel Hansome and Elefare (Parish) Ganey. Married:Julia Gertrude David, July 3, 1907. Children:One. Education:Troy State Normal College, Ph.B., 1907; study at University of Virginia, 1910-1911. Teacher in Covington County; superintendent of Dadeville schools, 1907-1909; principal, Tallapoosa High School; principal, Northside High School, Talladega; principal, Alabama School for the Blind, Talladega, 1914-1938; superintendent, 1938-1946. President, American Association of Institutions for the Blind. Honors:Howard College, LL.D., 1939.  Died December 8, 1965.</p>
<p>",":</strong></p>
<p>Owen's The Story of Alabama.</p>
<p>","(s):</strong></p>
<p>A Historical Sketch of the Alabama Institute for Deaf and Blind. Talladega, Ala.; Printed by the Pupils of the Alabama School for the Deaf, 1942.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GANN, JOSHUA ARTHUR",,JOSHUA ARTHUR GANN,,1895-1972,,,,,,,":</strong></p>
<p>Methodist clergyman; journalist.  Born:December 15, 1895, Hackleburg. Parents:Joshua A. and America M. Gann. Married:Mary Paulk, 1915. Children:Five. Education:Study at Florence State Normal School and Asbury College. Special correspondent for daily newspapers; contributor to Literary Digest; associate editor of small daily in Mississippi. Pastor, First Methodist Church in Guntersville and West End Methodist Church in Birmingham. Honorary doctorate, Athens College. Died December 17, 1972.</p>
<p>",":</strong></p>
<p>Files at Birmingham Public Library.</p>
<p>","(s):</strong></p>
<p>Grace Greater than Sin. Grand Rapids, Mich.; Zondervan, 1940.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GARBER, EUGENE KEENAN",,EUGENE KEENAN GARBER,,1932-unknown,,,,,,,":</strong></p>
<p>Writer; University professor. Born:October 5, 1932, Birmingham. Parents:Eugene Keenan and Margaret Reid Garber.  Married Barbara Morrow, 1954; children: two.  Education:Tulane University, B.A., 1954; University of Iowa, M.A., 1959, Ph.D., 1962. Served in the U.S.Navy, 1954-57.Taught English at Parsons College, 1961-62;  University of Iowa, 1962-1968; Western Washington State College, 1968-1977; professor of English, State University of New York, Albany, 1977-1996. Member, Modern Language Association and National Council of Teachers of English. Member of the advisory panel of the National Writing Project, 1979-81. Received Associated Writing Programs Award for short fiction, 1981;  Presidential Award for Excellence in Graduate Teaching, 1982; Creative Artist Public Service Award, New York State, 1984. Awarded status of professor emeritus on his retirement in 1996.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, 1978; Contemporary Authors Online</p>
<p>","(s):</strong></p>
<p>The Historian: Six Fantasies of the American Experience.  Northwestern University Press, 1955.</p>
<p>Metaphysical Tales; Stories. Columbia; University of Missouri Press, 1981.</p>
<p><strong>Joint_Publications;</strong></p>
<p>Better Reading I and II.  Scott Foresman, 1959.</p>

				</div>","<p>Beasts in their Wisdom.  Snail's Pace Press, 2004.</p>","<p><strong>Joint_Editor;</strong></p>
<p>Liberal and Conservative:  Issues for College Students.  Scott Foresman, 1968.</p>
<p><strong>Papers;</strong></p>
<p>A collection of the papers of Eugene Keenan Garber is held by the Special Collections Library of the University Libraries at SUNY, Albany.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
