AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,County,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BREEN, JON LINN",,Jon Linn Breen,,1943-present,Montgomery,Montgomery   ,,,,,":</strong></p>
<p>Writer; librarian; sportscaster.  Born:November 8, 1943, Montgomery. Parents:Frank William and Margaret Wolfe Breen. Married:Rita A. Gunson, 1970. Education:Pepperdine University, B.A., 1965; University of Southern California, M.S. in Library Science, 1966. Served in the U.S. Army. 1967-1969; sports broadcaster, Radio KWAV, Los Angeles,  1963-1965. Librarian, California State University, Long Beach 1966-1967; California State University, Dominguez Hills, 1969-1975;  Rio Hondo College, Whittier, Calif., 1975-2000. Published short stories in periodicals and anthologies; books of fiction as well as critical and bibliographical works.  Member Mystery Writers of America, Science Fiction Writers of America, Sierra Club. awards:  Edgar Allen Poe Awards from Mystery Writers of America, 1982 and 1985; Anthony Award for Best Critical Work, 1991 and 1994; Macavity Award from Mystery Writers International, 1994.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; Twentieth-Century Crime and Mystery Writers. 2nd. ed. 1985.</p>
<p>","(s):</strong></p>
<p>What About Murder; a Guide to the Books About Mystery and Detective Fiction. Metuchen, N.J.; Scarecrow Press, 1981.</p><p>Hair of the Sleuthhound; Parodies of Modern Fiction. Metuchen, N.J.; Scarecrow, 1982.</p>
<p>Listen for the Click.  New York:  Walker, 1983.  (British ed. published as The Vicar's Roses.  London: Macmillan, 1984.)</p><p>The Gathering Place. Walker, 1984. (British ed. published; London; Macmillan, 1984)</p><p>Novel Verdicts: A  Guide to Courtroom Fiction. Metuchen, N.J.; Scarecrow Press, 1984.</p>
<p>Triple Crown. New York; Walker, 1985.</p><p>Touch of the Past. New York; Walker, 1988.</p><p>Loose Lips. New York; Simon & Schuster, 1990.</p><p>The Drowning Icecube and Other Stories.  Unity, ME: Five Star, 1999.</p>


				</div>","<p>J. B. Must Die: An Ed Gorgon Story.  Norfolk:  Crippen and Landru, 2003.</p>
<p>Kill the Umpire: The Calls of Ed Gorgan.  Norfolk:  Crippen and Landru, 2003.</p><p>The Eye of God: A Mystery.  Palo Alto:  John Daniel and Company, 2006.</p><p>Probable Claus.  Waterville ME, 2009.</p>","<p><strong>Editor;</strong></p>
<p>The Girl in the Pictorial Wrapper.  California State College Library, 1972; rev. ed., 1973.</p>
<p>A Little Fleshed up around the Crook of the Elbow.  California State College Library, 1970.</p>
<p><strong>Joint_Editor;</strong></p>
<p>The Fine Art of Murder:  The Mystery Reader's Indispensable Companion.  Carroll and Graf, 1993.</p>
<p>American Murders; 11 Rediscovered Short Novels from American Magazines, 1934-1954. New York; Garland, 1986.</p>
<p>Murder California Style; a Collection of Short Stories. New York; St. Martin's, 1987.</p>
<p>Synod of Sleuths: Essays on Judeo-Christian Detective Fiction.  Metuchen Press, 1990.</p>
<p><strong>Contributor:</strong></p>
<p>Book Reviewing.  Writer, Inc., 1978.</p>
<p>Murder in Los Angeles. New York; Morrow, 1987.</p>
<p>Murder Off the Rack; Critical Study of Ten Paperback Masters. Metuchen, N.J.; Scarecrow Press, 1989.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BREWER, SONNY",,Sonny Brewer,,1949-present,Fairhope and Mobile,Baldwin and Mobile,,,,,";</strong></p>
<p>Author; editor; bookseller.  Born July 28, 1949.  Married; three children.  Owner of Over the Transom Bookstore in Fairhope, 1997- .  Editor,  <em>Mobile Bay Monthly</em>; editor and publisher, <em>Eastern Shore Quarterly, Red Bluff Review.  </em>Founder, Southern Writers Reading Conference and chairperson, Fairhope Center for the Writing Arts.  Received the Alabama Library Association award for fiction for <em>The Widow and the Tree, </em>2011<em>.</em></p>
<p>",";</strong></p>
<p>Contemporary Authors online.</p>
<p>","s;</strong></p>
<p><em>Rembrandt the Rocker.  </em>Fairhope: Over the Transom Publishing Co., 1994.</p>
<p><em>A Yin for Change.</em>  Fairhope; Over the Transom Publishing Co., 1996.</p>

				</div>","<p><em>The Poet of Tolstoy Park. </em>New York; Ballantine Books, 2005.</p><p><em>A Sound Like Thunder.  </em>New York; Ballantine Books, 2006.</p><p><em>Cormac; The Tale of a Dog Gone Missing. </em>San Francisco, CA; MacAdam/Cage, 2007.</p><p><em>The Widow and the Tree.  </em>San Francisco; MacAdam/Cage, 2009.</p>","<p><strong>Editor; </strong></p>
<p><em>A Cast of Characters and Other Stories. </em>San Francisco; MacAdam/Cage, 2006.</p>
<p><em>Don't Quit Your Day Job: Acclaimed Authors and the Day Jobs They Quit.  </em>MP Publishing Co., 2011.</p>
<p><em>Stories from the Blue Moon Cafe'; Anthology of Southern Writers</em> (series).  San Francisco:  MacAdam/Cage, 2002-  .</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BREWER, THADDEUS CONSTANTINE WILLIS",,Thaddeus Constantine Willis Brewer,,1844-1912,Brewerville and Montgomery,"Sumter, Lowdes, and Montgomery",,,Montgomery,,":</strong></p>
<p>Editor, lawyer, legislator. Born:March 15, 1844, Brewerville, Sumter County. Parents:Robert Willis and Jane (Hadden) Brewer. Married:Mary Baine. Children:Four. Began working in a printing office at age fourteen and three years later was editing a newspaper in Milton, Fla. Attempted three times to enlist in the Army during the War Between the States, but failed because of health problems. Served briefly on the staff of General Wirt Adams and briefly as aide-de-camp to Governor Robert M. Patton; made an honorary colonel. Admitted to the bar in 1865. Became part owner and editor of the Wilcox Times, 1865; established the Hayneville Examiner, 1868, and published it until 1880. President, State Press Association, 1876. Served as treasurer of Lowndes County; elected and served as State Auditor, 1876-1880; served in the Alabama House of Representatives, 1880-1882, 1890-1894; served in the Alabama Senate, 1882-1890; served in the U. S. House of Representatives, 1896-1901. Had extensive land holdings and was an owner and director of the Montgomery, Hayneville and Camden Railroad. Died October 30. 1912.</p>
<p>",":</strong></p>
<p>Owen's Dictionary of Alabama Biography; Alabama Review, July 1965; Marks' Alabama Past Leaders; and Brewer's granddaughter, Miriam Russell Black.</p>
<p>","(s):</strong></p>
<p>Alabama; Her History, Resources, War Record, and Public Men. Montgomery, Ala; Barret & Brown, 1872.</p>
<p>The Children of Issachar; a Story of Wrongs and Remedies. New York; Putnam, 1884.</p>
<p>The Secret of Mankind With Some Singular Hints Gathered in the Elsewhere of After-Life .... New York; Putnam, 1895.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BREYER, BERNARD RICH",,Bernard Rich Breyer,,1919-1999,Auburn,Lee,,,Auburn,,":</strong></p>
<p>Professor of English. Born:July 25, 1919, Nashville, Tenn. Married Mary Ann Bugg; Children:Three. Married Betty Jane Slemp.  Education:Vanderbilt University, B.A., 1939; Louisiana State University, M.A., 1940; University of Virginia, Ph.D., 1948. U.S. Army, World War II. Professor of English at the University of Arizona, 1947-1949, and Auburn University, 1949-1985.  Awarded professor emeritus status on retirement.  Died May 17, 1999.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, 1982.</p>
<p>","(s):</strong></p>
<p>Towards an Interpretation of Kubla Khan. Charlottesville, Va.; University of Virginia Press, 1953.</p><p>A New Look at Julius Caesar. Nashville; Vanderbilt University Press, 1955.</p>
				</div>",,"<p><strong>Papers; </strong></p>
<p>A collection of the correspondence of Bernard Breyer and Professor Donald Davidson is held in the  Special Collections and Archives Departmen of the Jean and Alexander Heard Library at Vanderbilt University.</p>

",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRIDGMAN, FREDERICK ARTHUR",,Frederick Arthur Bridgman,,1847-1928,Tuskegee,Macon,,,,,":</strong></p>
<p>Artist. Born November 10, 1847,  Tuskegee. Parents:Frederick and Lovina Jennings Bridgman. Married:Florence Mott Baker, 1977 (died 1901).  Children: three.  Married: Marthe Jaegar, 1904.  Children: one. Education:Brooklyn Art School and the National Academy of Design; study under J. L. Gerome at the Ecole des Beaux Arts in Paris, 1866-1870. Identified as an ""Orientalist"" for his use of Eastern subjects, based on extensive travels in Algeria, Egypt, Turkey, Syria, and Morocco, beginning in 1872-74.   Extremely popular during his lifetime. Participated in the Paris Salon; elected to the National Academy of Design, 1874 (associate member), 1881 (full member).  Honors; Won first and second class medals at Paris and Continental Exhibits. Awarded the Cross of the Legion of Honor. Died January 13, 1928.</p>
<p>",":</strong></p>
<p>American National Biography online.</p>
<p>","(s):</strong></p>
<p>The Ignoramuses. Boston, 1887.</p>
<p>Winters in Algeria. New York; Harper & Brother, 1890.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRILES, EVE IDA BARAK",,Eve Ida Barak Briles,,1948-unknown,Birmingham,Jefferson,"Birmingham, Jefferson",,,,":</strong></p>
<p>Research scientist; administrator. Born:January 28, 1948, New York City. Parents:Henry and Lotte (Seligmann) Barak. Married:David Elwood Briles; married: Eugene Abraham Davidson, 1990. Education:Brown University, A.B., 1968; Rockefeller University, Ph.D., 1974; post-doctoral work at the University of Alabama in Birmingham, 1978-1982. Researcher at UAB, 1979-1982; Research associate at the University of Texas System Cancer Center in Houston, 1983-86. Administrator at the National Science Foundation, Arlington, VA, 1986-.  Wrote many journal articles, book chapters and abstracts published in scientific publications. Member Society for Glycobiology and Society for Cell Biology.</p>
<p>",":</strong></p>
<p>Eve Briles, Houston, Texas; Marquis Who's Who online.</p>
<p>","(s):</strong></p>
<p>Moods, Seasons, and Love. Birmingham, Ala.; Birmingham Printing and Publishing Co., 1982.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Points of Perception; a Mosaic of Verse. Houston, Texas; Bridgeport Press, 1984.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRINKLEY, IDALEA CROCKER",,Idalea Crocker Brinkley,,1907-1988,Anniston and Birmingham,Calhoun and Jefferson ,,,Anniston and Birmingham,,":</strong></p>
<p>Editor, journalist. Born April 22, 1907, Wilmington, N. C. Parents: Lloyd and Blanche Twining Crocker. Married:(1) Edwin T. Brinkley (died 1949). Children: three.  Married (2) Richard Lee Wortham.   First husband was managing editor of the Anniston Star and city editor of the Birmingham Post.  Served as a society and church editor for newspapers in Birmingham and Anniston. Died December 22, 1988.</p>
<p>",":</strong></p>
<p>Files at Birmingham Public Library and Alabama Department of Archives and History.</p>
<p>","(s):</strong></p>
<p>The Crossover. Bloomfield, N.J.; Carlton Press, 1974.</p>
<p>Nothing Ventured.  Carlton Press, 1990.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRISTOW, GWEN",,Gwen Bristow,,1903-1980,Marion  ,Perry,"Marion, Perry",,,,":</strong></p>
<p>University professor. Born Sept. 9, 1906,  Syracuse, N.Y. Parents:Lewis J. and Grace (Aylsworth) Brittin. Married:Florence Mellor, March 1, 1929 (died 1951). Children:Two. Married:Ruth Harris Lowe, 1951. Education:Syracuse University, A.B., 1927, A.M., 1930; post-graduate work at the University of California, 1934-1937; University of Washington, Ph.D., 1947.    Taught English at the University of Utah, 1937-44; at the University of Chicago, 1947-48; at Auburn University, 1948-1977;  Molly Hollifield Jones Professor of Humanities, 1966-77. Co-founder and Co-editor of Southern Humanities Review, 1966-1977.  Professor Emeritus at Auburn, 1977. Died April 4, 2004.</p>
<p>","s;</strong></p>
<p>Contemporary authors online; Alabama Women's Hall of Fame website; obituary</p>
<p>","s;</strong></p>
<p>Jubilee Trail.  New York:  Crowell, 1920.</p><p>The Alien and Other Poems.  Boston:  Badger, 1926.</p><p>Deep Summer.  New York:  Crowell, 1937.</p><p>Handsome Road.  New York: Crowell, 1938.</p><p>Gwen Bristow:  A Self-Portrait.  New York: Crowell, 1940.</p><p>Tomorrow Is Forever.  New York: Crowell, 1943.</p><p>Celia Garth.  New York: Crowell, 1959.</p>
<p>Calico Palace.  Crowell, 1970.</p><p>This Side of Glory.  New York: Crowell, 1979.</p>
<p>Golden Dreams.  Crowell, 1980.</p>
<p><strong>Joint_Publications; </strong></p>
<p>The Invisible Host.  Mystery League, 1930.</p><p>Gutenberg Murders.  New York: Mystery League, 1931.</p>
<p>Mardi Gras Murders.  Mystery League, 1932.</p><p>Two and Two Make Twenty-two.  Mystery League, 1932.</p>
<p>The Ninth Guest.  Popular Library, 1975.</p>


				</div>",,"<p><strong>Papers;</strong></p>
<p>Papers of Gwen Bristow are held by several libraries, including those at UCL, and LSU.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRITTIN, NORMAN AYLSWORTH",,Norman Aylsworth Brittin,,1906-2004,Auburn,Lee,,,Auburn,"Auburn, Lee",":</strong></p>
<p>University professor. Born Sept. 9, 1906,  Syracuse, N.Y. Parents:Lewis J. and Grace (Aylsworth) Brittin. Married:Florence Mellor, March 1, 1929 (died 1951). Children:Two. Married:Ruth Harris Lowe, 1951. Education:Syracuse University, A.B., 1927, A.M., 1930; post-graduate work at the University of California, 1934-1937; University of Washington, Ph.D., 1947.    Taught English at the University of Utah, 1937-44; at the University of Chicago, 1947-48; at Auburn University, 1948-1977;  Molly Hollifield Jones Professor of Humanities, 1966-77. Co-founder and Co-editor of Southern Humanities Review, 1966-1977.  Professor Emeritus at Auburn, 1977. Died April 4, 2004.</p>
<p>",":</strong></p>
<p>Who's Who in America, 1980.</p>
<p>Obituary, Auburn-Opelika News, April 8, 2004.</p>
<p>","(s):</strong></p>
<p>A Writing Apprenticeship. New York; Holt, 1963.</p><p>Edna St. Vincent Millay. Boston; Twayne, 1967.</p><p>Writing Description and Narration. New York; Holt, 1969.</p>
<p>A Reading Apprenticeship; Literature. New York; Holt, 1971.</p>
<p>Thomas Middleton. Boston; Twayne, 1972.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BROADUS, ELEANOR BOYCE",,Eleanor Boyce Broadus,,1902-1974,"Russellville, Marion, Abbeville, and Birmingham","Perry, Jefferson, Henry, and Franklin","Marion, Perry",,Abbeville and Birmingham,,":</strong></p>
<p>Librarian; teacher. Born:May 13, 1902, near Russellville. Parents:Boyce and Margaret Russell (Sargent) Broadus. Education:Judson College, A.B., 1923; George Peabody, M.A., 1926, B.S. in Library Science, 1933. Taught in Jefferson County Schools, 1923-1927, and at Henry County High School, 1927-1932. Librarian at Tarrant High School after 1933. The Sunday School Board chose some of her stories for publication in Storytime. Died August 26, 1974.</p>
<p>",":</strong></p>
<p>History of First Baptist Church, Russellville; Who's Who in Library Service.</p>
<p>","(s):</strong></p>
<p>History of the First Baptist Church, Russellville, Alabama, 1867-1967. Birmingham, Ala.; Banner Press, 1967.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BROCK, GEORGE WILLIAM",,George William Brock,,1864-1941,"Tuscaloosa, Florance, Opelika, and Livingston","Etowah, Tuscaloosa, Lauderdale, Lee, and Sumter","Florance; Lauderdale; Tuscaloosa, Tuscaloosa",,"Opelika, Livingston, and Tuscaloosa",,":</strong></p>
<p>Teacher; College president.  Born:February 18, 1864, Etowah County. Parents:Josiah and Louisa (Riggs) Brock. Married:Carrie L. Luttrell, July 6, 1899 (died 1908).  Children: one. Married:Mary A. Boyd, August 10, 1910. Education:Graduated from the State Normal School at Florence; University of Alabama, A.B., 1900; studied at the University of the South. Teacher and principal at several Alabama public schools, 1883: 1902; Superintendent of schools in Opelika, 1902-1907; instructed in summer schools at the University of Alabama, 1905-1908. State Normal School in Livingston, business manager and chairman of the faculty 1907-1910; president, 1910-1936. Member of the State Board of Examiners (for the certification of teachers). Awarded the status of president emeritus on his retirement as president in 1936. Howard College, LL. D. , 1921; University of Alabama, LL. D., 1920. Died May 20, 1941.</p>
<p>",":</strong></p>
<p>Who Was Who in America, Vol. 2.; ""Historical Sketches.""</p>
<p>","(s):</strong></p>
<p>Historical Sketches; State Teachers College, Livingston, Alabama. Livingston, Ala.; s.n., 1928.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BROOKINS, DEWEY C.",,Dewey C. Brookins,,1904-1982,Dothan and Montgomery,Dale and Montgomery,,,Montgomery,,":</strong></p>
<p>Salesman, newspaper columnist. Born:June 4, 1904, Dothan. Parents:Frank and Eolin Brookins. Married:Marguerite Frederickson. Children:five. Education:Attended the U.S. Naval Academy and worked as a naval inspector. Automobile salesman in Montgomery; newspaper columnist. Died August 27, 1982.</p>
<p>",":</strong></p>
<p>Science Fiction and Fantasy Literature; Encyclopedia of Science Fiction.</p>
<p>","(s):</strong></p>
<p>Flying High. New York; Vantage Press, 1965.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BROOKS, BESSIE ATKINS",,Bessie Atkins Brooks,,1882-1964,Tuscaloosa and Birmingham,Tuscaloosa and Jefferson,"Tuscaloosa, Tuscaloosa",,Birmingham,,":</strong></p>
<p>Social worker. Born:  August 4, 1882, Springville, Tenn. Parents:Henry Eugene Atkins. Married:Eugene Clifton Brooks, March 24, 1899. Children:Two. Education:Attended the University of Alabama and Tulane University. Was with the Jefferson County Department of Public Welfare from its beginning in 1921 to 1953. Served as president of the North Alabama chapter of the American Association of Social Workers; member, Jefferson County Social Workers Club. Died September 20, 1964.</p>
<p>",":</strong></p>
<p>Files at Alabama Department of Archives and History.</p>
<p>","(s):</strong></p>
<p>A Half Century of Progress in Family Welfare Work in Jefferson County. Birmingham, Ala.; Roberts, 1936.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
